字頭,字頭,補充,古韻,擬音,,,,
鎋,鎋,,月,ʌt,,,,
𤛉（舝）,𤛉,（舝）,月,ʌt,,,,
轄,轄,,月,ʌt,,,,
𧕱,𧕱,,月,ʌt,,,,
𤪍,𤪍,,月,ʌt,,,,
搳,搳,,月,ʌt,,,,
洽*（和洽）,洽*,（和洽）,緝,ɔp,,,,
袷,袷,,緝,ɔp,,,,
狹,狹,,葉,ʌp,,,,
陜,陜,,葉,ʌp,,,,
陿,陿,,葉,ʌp,,,,
峽,峽,,葉,ʌp,,,,
硤,硤,,葉,ʌp,,,,
狎,狎,,葉,ʌp,,,,
柙,柙,,葉,ʌp,,,,
匣,匣,,葉,ʌp,,,,
挾,挾,,葉,ʌp,,,,
俠,俠,,葉,ʌp,,,,
閜,閜,,歌,ʌl,,,,
下（下面）,下,（下面）,魚,ʌ,,,,
夏（華夏）,夏,（華夏）,魚,ʌ,,,,
廈,廈,,魚,ʌ,,,,
夏（夏季）,夏,（夏季）,魚,ʌ,,,,
下（下降）,下,（下降）,魚,ʌ,,,,
芐（草）,芐,（草）,魚,ʌ,,,,
罅,罅,,魚,ʌ,,,,
唬（虎聲）,唬,（虎聲）,魚,ʌ,,,,
㙤,㙤,,魚,ʌ,,,,
暇*,暇*,,魚,ʌ,,,,
窊,窊,,魚,ʌ,,,,
窳（同“痕”）,窳,（同“痕”）,魚,ʌ,,,,
汙（地坑）,汙,（地坑）,魚,ʌ,,,,
哇,哇,,支,ə,,,,
洼（深池）,洼,（深池）,支,ə,,,,
窪,窪,,支,ə,,,,
漥,漥,,支,ə,,,,
蛙,蛙,,支,ə,,,,
鼃,鼃,,支,ə,,,,
唲（唲嘔）,唲,（唲嘔）,支,ə,,,,
䯉,䯉,,物,ɔt,,,,
穵（挖）,穵,（挖）,物,ɔt,,,,
媧（女媧）,媧,（女媧）,歌,ʌl,,,,
娃（貌美）,娃,（貌美）,支,ə,,,,
瓦（已燒土器，屋瓦）,瓦,（已燒土器，屋瓦）,歌,ʌl,,,,
瓦（動詞，鋪瓦）,瓦,（動詞，鋪瓦）,歌,ʌl,,,,
韤,韤,,月,ʌt,,,,
韈,韈,,月,ʌt,,,,
襪,襪,,月,ʌt,,,,
𥿉（襪）,𥿉,（襪）,月,ʌt,,,,
嗢,嗢,,物,ɔt,,,,
聉,聉,,物,ɔt,,,,
𦘍,𦘍,,物,ɔt,,,,
瓜,瓜,,魚,ʌ,,,,
劀,劀,,質,ət,,,,
騧,騧,,歌,ʌl,,,,
緺,緺,,歌,ʌl,,,,
蝸*（蝸牛）,蝸*,（蝸牛）,歌,ʌl,,,,
䒷,䒷,,月,ʌt,,,,
𦸈,𦸈,,月,ʌt,,,,
䯏,䯏,,月,ʌt,,,,
刮,刮,,月,ʌt,,,,
鴰,鴰,,月,ʌt,,,,
寡,寡,,魚,ʌ,,,,
冎（剮）,冎,（剮）,歌,ʌl,,,,
卦,卦,,支,ə,,,,
挂,挂,,支,ə,,,,
掛,掛,,支,ə,,,,
罣,罣,,支,ə,,,,
詿,詿,,支,ə,,,,
𧬮（詿）,𧬮,（詿）,支,ə,,,,
絓,絓,,支,ə,,,,
