字頭,字頭,補充,古韻,擬音,,,,
㰣,㰣,,支,ə,,,,
鈭,鈭,,支,ə,,,,
姕,姕,,支,ə,,,,
䖪,䖪,,支,ə,,,,
觜（星宿名）,觜,（星宿名）,支,ə,,,,
齜,齜,,支,ə,,,,
咨,咨,,脂,əl,,,,
資,資,,脂,əl,,,,
粢,粢,,脂,əl,,,,
𪗉,𪗉,,脂,əl,,,,
齍,齍,,脂,əl,,,,
𪗋,𪗋,,脂,əl,,,,
諮,諮,,脂,əl,,,,
姿,姿,,脂,əl,,,,
澬,澬,,脂,əl,,,,
次（次且，不安貌）,次,（次且，不安貌）,脂,əl,,,,
趑（趑趄）,趑,（趑趄）,脂,əl,,,,
子,子,,之,ɔɪ,,,,
耔,耔,,之,ɔɪ,,,,
秄,秄,,之,ɔɪ,,,,
梓,梓,,之,ɔɪ,,,,
滓,滓,,之,ɔɪ,,,,
䔂,䔂,,之,ɔɪ,,,,
紫,紫,,支,ə,,,,
訿,訿,,支,ə,,,,
訾（詆毁）,訾,（詆毁）,支,ə,,,,
啙（窳）,啙,（窳）,支,ə,,,,
茈,茈,,支,ə,,,,
呰（毁）,呰,（毁）,支,ə,,,,
㧗,㧗,,支,ə,,,,
泚（水名）,泚,（水名）,支,ə,,,,
姊,姊,,脂,əl,,,,
秭,秭,,脂,əl,,,,
笫,笫,,脂,əl,,,,
胏,胏,,脂,əl,,,,
𠂔,𠂔,,脂,əl,,,,
㾅,㾅,,脂,əl,,,,
字,字,,之,ɔɪ,,,,
牸,牸,,之,ɔɪ,,,,
芓（苴麻）,芓,（苴麻）,之,ɔɪ,,,,
胾,胾,,之,ɔɪ,,,,
菑（木立死）,菑,（木立死）,之,ɔɪ,,,,
剚,剚,,之,ɔɪ,,,,
倳,倳,,之,ɔɪ,,,,
眥,眥,,支,ə,,,,
㧘,㧘,,支,ə,,,,
胔,胔,,支,ə,,,,
漬,漬,,錫,ək,,,,
𦎸,𦎸,,錫,ək,,,,
恣,恣,,脂,əl,,,,
𣣌,𣣌,,脂,əl,,,,
自,自,,質,ət,,,,
雌,雌,,支,ə,,,,
𦍧,𦍧,,支,ə,,,,
疵,疵,,支,ə,,,,
骴,骴,,支,ə,,,,
玼（玉斑）,玼,（玉斑）,支,ə,,,,
飺,飺,,支,ə,,,,
偨,偨,,支,ə,,,,
趀,趀,,脂,əl,,,,
䙻,䙻,,脂,əl,,,,
蠀,蠀,,脂,əl,,,,
差（等級，參差）,差,（等級，參差）,歌,ʌl,,,,
𪙉,𪙉,,歌,ʌl,,,,
縒,縒,,歌,ʌl,,,,
慈,慈,,之,ɔɪ,,,,
鷀,鷀,,之,ɔɪ,,,,
兹（龜兹，國名）,兹,（龜兹，國名）,之,ɔɪ,,,,
磁,磁,,之,ɔɪ,,,,
詞,詞,,之,ɔɪ,,,,
祠,祠,,之,ɔɪ,,,,
辭,辭,,之,ɔɪ,,,,
辤,辤,,之,ɔɪ,,,,
辝,辝,,之,ɔɪ,,,,
呰（疵）,呰,（疵）,支,ə,,,,
啙（疵）,啙,（疵）,支,ə,,,,
茨,茨,,脂,əl,,,,
薋,薋,,脂,əl,,,,
薺（蒺黎）,薺,（蒺黎）,脂,əl,,,,
餈,餈,,脂,əl,,,,
垐,垐,,脂,əl,,,,
䆅,䆅,,脂,əl,,,,
瓷,瓷,,脂,əl,,,,
髊,髊,,歌,ʌl,,,,
此,此,,支,ə,,,,
跐,跐,,支,ə,,,,
佌,佌,,支,ə,,,,
玼（玉色鮮）,玼,（玉色鮮）,支,ə,,,,
泚（出汗）,泚,（出汗）,支,ə,,,,
𧺼,𧺼,,支,ə,,,,
蛓,蛓,,之,ɔɪ,,,,
伺,伺,,之,ɔɪ,,,,
廁*（廁所）,廁*,（廁所）,職,ɔɪk,,,,
庛,庛,,支,ə,,,,
刺,刺,,錫,ək,,,,
朿,朿,,錫,ək,,,,
𧧒,𧧒,,錫,ək,,,,
莿,莿,,錫,ək,,,,
㓨,㓨,,錫,ək,,,,
茦,茦,,錫,ək,,,,
賜,賜,,錫,ək,,,,
次（次序）,次,（次序）,脂,əl,,,,
佽,佽,,脂,əl,,,,
絘,絘,,脂,əl,,,,
䯸,䯸,,脂,əl,,,,
思,思,,之,ɔɪ,,,,
司,司,,之,ɔɪ,,,,
罳,罳,,之,ɔɪ,,,,
絲,絲,,之,ɔɪ,,,,
緦,緦,,之,ɔɪ,,,,
禗,禗,,之,ɔɪ,,,,
㺇,㺇,,之,ɔɪ,,,,
偲,偲,,之,ɔɪ,,,,
斯,斯,,支,ə,,,,
虒,虒,,支,ə,,,,
榹,榹,,支,ə,,,,
㴲,㴲,,支,ə,,,,
廝（廝役）,廝,（廝役）,支,ə,,,,
凘,凘,,支,ə,,,,
磃,磃,,支,ə,,,,
鼶,鼶,,支,ə,,,,
蟴,蟴,,支,ə,,,,
䔮,䔮,,支,ə,,,,
蜤,蜤,,支,ə,,,,
禠,禠,,支,ə,,,,
澌,澌,,支,ə,,,,
廝（析）,廝,（析）,支,ə,,,,
嘶,嘶,,支,ə,,,,
私,私,,脂,əl,,,,
厶,厶,,脂,əl,,,,
𦮺,𦮺,,脂,əl,,,,
㺨,㺨,,脂,əl,,,,
死,死,,脂,əl,,,,
笥,笥,,之,ɔɪ,,,,
伺,伺,,之,ɔɪ,,,,
覗,覗,,之,ɔɪ,,,,
杫,杫,,之,ɔɪ,,,,
似,似,,之,ɔɪ,,,,
佀,佀,,之,ɔɪ,,,,
祀,祀,,之,ɔɪ,,,,
禩,禩,,之,ɔɪ,,,,
姒,姒,,之,ɔɪ,,,,
巳,巳,,之,ɔɪ,,,,
耜,耜,,之,ɔɪ,,,,
汜,汜,,之,ɔɪ,,,,
洍,洍,,之,ɔɪ,,,,
鈶,鈶,,之,ɔɪ,,,,
𪊍,𪊍,,之,ɔɪ,,,,
㭒,㭒,,之,ɔɪ,,,,
梩（耜）,梩,（耜）,之,ɔɪ,,,,
寺,寺,,之,ɔɪ,,,,
嗣,嗣,,之,ɔɪ,,,,
飤,飤,,之,ɔɪ,,,,
飼,飼,,之,ɔɪ,,,,
俟,俟,,之,ɔɪ,,,,
竢,竢,,之,ɔɪ,,,,
涘,涘,,之,ɔɪ,,,,
騃,騃,,之,ɔɪ,,,,
𢓪,𢓪,,之,ɔɪ,,,,
𧀩,𧀩,,錫,ək,,,,
兕,兕,,脂,əl,,,,
四,四,,質,ət,,,,
肆（陳，散開）,肆,（陳，散開）,質,ət,,,,
柶,柶,,質,ət,,,,
泗,泗,,質,ət,,,,
牭,牭,,質,ət,,,,
㣈,㣈,,質,ət,,,,
駟,駟,,質,ət,,,,
蕼,蕼,,質,ət,,,,
肂,肂,,質,ət,,,,
𨽸（“肆”本字）,𨽸,（“肆”本字）,質,ət,,,,
而,而,,之,ɔɪ,,,,
栭,栭,,之,ɔɪ,,,,
陑,陑,,之,ɔɪ,,,,
輀,輀,,之,ɔɪ,,,,
胹,胹,,之,ɔɪ,,,,
洏,洏,,之,ɔɪ,,,,
鮞,鮞,,之,ɔɪ,,,,
耏（頰毛）,耏,（頰毛）,之,ɔɪ,,,,
䎠,䎠,,之,ɔɪ,,,,
荋,荋,,之,ɔɪ,,,,
𥅡,𥅡,,之,ɔɪ,,,,
聏（調和）,聏,（調和）,之,ɔɪ,,,,
兒,兒,,支,ə,,,,
唲（嚅唲）,唲,（嚅唲）,支,ə,,,,
耳,耳,,之,ɔɪ,,,,
洱,洱,,之,ɔɪ,,,,
駬,駬,,之,ɔɪ,,,,
餌,餌,,之,ɔɪ,,,,
珥,珥,,之,ɔɪ,,,,
餌,餌,,之,ɔɪ,,,,
珥,珥,,之,ɔɪ,,,,
𩱓（同“餌”）,𩱓,（同“餌”）,之,ɔɪ,,,,
爾,爾,,脂,əl,,,,
𡭗（尒尔）,𡭗,（尒尔）,脂,əl,,,,
邇,邇,,脂,əl,,,,
髶（髶髦）,髶,（髶髦）,之,ɔɪ,,,,
衈,衈,,之,ɔɪ,,,,
咡,咡,,之,ɔɪ,,,,
刵,刵,,之,ɔɪ,,,,
佴,佴,,之,ɔɪ,,,,
䎶,䎶,,之,ɔɪ,,,,
㛅,㛅,,之,ɔɪ,,,,
眲,眲,,之,ɔɪ,,,,
二,二,,脂,əl,,,,
弍,弍,,脂,əl,,,,
貳,貳,,脂,əl,,,,
樲,樲,,脂,əl,,,,
醫,醫,,之,ɔɪ,,,,
毉,毉,,之,ɔɪ,,,,
譩,譩,,之,ɔɪ,,,,
噫,噫,,之,ɔɪ,,,,
伊,伊,,脂,əl,,,,
咿,咿,,脂,əl,,,,
蛜,蛜,,脂,əl,,,,
𧉅,𧉅,,脂,əl,,,,
鷖,鷖,,脂,əl,,,,
𧫦,𧫦,,脂,əl,,,,
嫛,嫛,,脂,əl,,,,
黳,黳,,脂,əl,,,,
㙠,㙠,,脂,əl,,,,
繄,繄,,脂,əl,,,,
一,一,,質,ət,,,,
壹,壹,,質,ət,,,,
禕,禕,,微,ɔl,,,,
依,依,,微,ɔl,,,,
郼,郼,,微,ɔl,,,,
衣,衣,,微,ɔl,,,,
㛄,㛄,,微,ɔl,,,,
䧇,䧇,,微,ɔl,,,,
㥋,㥋,,微,ɔl,,,,
衣（穿衣）,衣,（穿衣）,微,ɔl,,,,
漪,漪,,歌,ʌl,,,,
猗（長也）,猗,（長也）,歌,ʌl,,,,
椅（木名）,椅,（木名）,歌,ʌl,,,,
陭,陭,,歌,ʌl,,,,
檹,檹,,歌,ʌl,,,,
黟,黟,,歌,ʌl,,,,
揖（拜揖）,揖,（拜揖）,緝,ɔp,,,,
飴,飴,,之,ɔɪ,,,,
怡,怡,,之,ɔɪ,,,,
圯,圯,,之,ɔɪ,,,,
貽,貽,,之,ɔɪ,,,,
巸,巸,,之,ɔɪ,,,,
𦣞,𦣞,,之,ɔɪ,,,,
頤,頤,,之,ɔɪ,,,,
詒（留給）,詒,（留給）,之,ɔɪ,,,,
㺿,㺿,,之,ɔɪ,,,,
宧,宧,,之,ɔɪ,,,,
台（我）,台,（我）,之,ɔɪ,,,,
瓵,瓵,,之,ɔɪ,,,,
枱,枱,,之,ɔɪ,,,,
耛,耛,,之,ɔɪ,,,,
疑,疑,,之,ɔɪ,,,,
嶷（九嶷，山名）,嶷,（九嶷，山名）,之,ɔɪ,,,,
觺,觺,,之,ɔɪ,,,,
𠤗,𠤗,,之,ɔɪ,,,,
㥴,㥴,,支,ə,,,,
歋,歋,,支,ə,,,,
螔,螔,,支,ə,,,,
乁,乁,,支,ə,,,,
姨,姨,,脂,əl,,,,
彝,彝,,脂,əl,,,,
夷,夷,,脂,əl,,,,
㰘,㰘,,脂,əl,,,,
痍,痍,,脂,əl,,,,
桋（木名）,桋,（木名）,脂,əl,,,,
羠,羠,,脂,əl,,,,
𢓡,𢓡,,脂,əl,,,,
跠,跠,,脂,əl,,,,
沶,沶,,脂,əl,,,,
狋（犬争貌）,狋,（犬争貌）,脂,əl,,,,
侇,侇,,脂,əl,,,,
咦,咦,,脂,əl,,,,
遺,遺,,微,ɔl,,,,
沂（水名）,沂,（水名）,微,ɔl,,,,
移,移,,歌,ʌl,,,,
迻,迻,,歌,ʌl,,,,
杝,杝,,歌,ʌl,,,,
簃,簃,,歌,ʌl,,,,
䔟,䔟,,歌,ʌl,,,,
衪,衪,,歌,ʌl,,,,
暆,暆,,歌,ʌl,,,,
𤝻,𤝻,,歌,ʌl,,,,
栘（木名）,栘,（木名）,歌,ʌl,,,,
酏,酏,,歌,ʌl,,,,
匜,匜,,歌,ʌl,,,,
謻（臺名）,謻,（臺名）,歌,ʌl,,,,
蛇（委蛇）,蛇,（委蛇）,歌,ʌl,,,,
柂,柂,,歌,ʌl,,,,
椸,椸,,歌,ʌl,,,,
誃（臺名）,誃,（臺名）,歌,ʌl,,,,
𧦧,𧦧,,歌,ʌl,,,,
訑（訑訛）,訑,（訑訛）,歌,ʌl,,,,
宜,宜,,歌,ʌl,,,,
儀,儀,,歌,ʌl,,,,
䣡,䣡,,歌,ʌl,,,,
䴊,䴊,,歌,ʌl,,,,
矣,矣,,之,ɔɪ,,,,
以,以,,之,ɔɪ,,,,
㠯,㠯,,之,ɔɪ,,,,
已,已,,之,ɔɪ,,,,
苡,苡,,之,ɔɪ,,,,
苢,苢,,之,ɔɪ,,,,
𢻰（攺）,𢻰,（攺）,之,ɔɪ,,,,
䰙,䰙,,支,ə,,,,
乙,乙,,質,ət,,,,
鳦,鳦,,質,ət,,,,
亄,亄,,質,ət,,,,
扆,扆,,微,ɔl,,,,
偯,偯,,微,ɔl,,,,
顗,顗,,微,ɔl,,,,
螘,螘,,微,ɔl,,,,
倚,倚,,歌,ʌl,,,,
猗（依也）,猗,（依也）,歌,ʌl,,,,
旖,旖,,歌,ʌl,,,,
輢,輢,,歌,ʌl,,,,
迆,迆,,歌,ʌl,,,,
崺,崺,,歌,ʌl,,,,
迤（斜行）,迤,（斜行）,歌,ʌl,,,,
蟻,蟻,,歌,ʌl,,,,
蛾（古“蟻”字）,蛾,（古“蟻”字）,歌,ʌl,,,,
齮,齮,,歌,ʌl,,,,
檥,檥,,歌,ʌl,,,,
㠖,㠖,,歌,ʌl,,,,
轙,轙,,歌,ʌl,,,,
钀（貫繮環）,钀,（貫繮環）,歌,ʌl,,,,
㘈（唭㘈）,㘈,（唭㘈）,之,ɔɪ,,,,
意,意,,職,ɔɪk,,,,
鷾,鷾,,職,ɔɪk,,,,
異,異,,職,ɔɪk,,,,
异,异,,職,ɔɪk,,,,
䔬,䔬,,職,ɔɪk,,,,
憶,憶,,職,ɔɪk,,,,
億,億,,職,ɔɪk,,,,
臆,臆,,職,ɔɪk,,,,
肊,肊,,職,ɔɪk,,,,
𠶷,𠶷,,職,ɔɪk,,,,
繶,繶,,職,ɔɪk,,,,
醷,醷,,職,ɔɪk,,,,
澺,澺,,職,ɔɪk,,,,
薏,薏,,職,ɔɪk,,,,
檍,檍,,職,ɔɪk,,,,
抑,抑,,職,ɔɪk,,,,
弋,弋,,職,ɔɪk,,,,
廙,廙,,職,ɔɪk,,,,
翼,翼,,職,ɔɪk,,,,
㚤,㚤,,職,ɔɪk,,,,
潩,潩,,職,ɔɪk,,,,
杙,杙,,職,ɔɪk,,,,
芅,芅,,職,ɔɪk,,,,
㔴,㔴,,職,ɔɪk,,,,
趩,趩,,職,ɔɪk,,,,
蛡,蛡,,職,ɔɪk,,,,
瀷,瀷,,職,ɔɪk,,,,
釴,釴,,職,ɔɪk,,,,
䣧,䣧,,職,ɔɪk,,,,
繹,繹,,鐸,ʌk,,,,
睪,睪,,鐸,ʌk,,,,
亦,亦,,鐸,ʌk,,,,
弈,弈,,鐸,ʌk,,,,
奕,奕,,鐸,ʌk,,,,
帟,帟,,鐸,ʌk,,,,
譯,譯,,鐸,ʌk,,,,
懌,懌,,鐸,ʌk,,,,
斁（𣀇，厭也）,斁,（𣀇，厭也）,鐸,ʌk,,,,
驛,驛,,鐸,ʌk,,,,
嶧,嶧,,鐸,ʌk,,,,
醳,醳,,鐸,ʌk,,,,
圛,圛,,鐸,ʌk,,,,
射（無射）,射,（無射）,鐸,ʌk,,,,
燡,燡,,鐸,ʌk,,,,
𢍰,𢍰,,鐸,ʌk,,,,
枍,枍,,支,ə,,,,
縊,縊,,錫,ək,,,,
易（難易）,易,（難易）,錫,ək,,,,
㑥,㑥,,錫,ək,,,,
𫾻（敡）,𫾻,（敡）,錫,ək,,,,
益,益,,錫,ək,,,,
嗌（咽喉）,嗌,（咽喉）,錫,ək,,,,
齸,齸,,錫,ək,,,,
膉,膉,,錫,ək,,,,
𪕶,𪕶,,錫,ək,,,,
溢,溢,,錫,ək,,,,
鎰,鎰,,錫,ək,,,,
易（變易）,易,（變易）,錫,ək,,,,
痬,痬,,錫,ək,,,,
蜴,蜴,,錫,ək,,,,
埸,埸,,錫,ək,,,,
鷁,鷁,,錫,ək,,,,
鶂,鶂,,錫,ək,,,,
艗,艗,,錫,ək,,,,
𠩫,𠩫,,錫,ək,,,,
虉,虉,,錫,ək,,,,
鷊,鷊,,錫,ək,,,,
𧅖,𧅖,,錫,ək,,,,
役,役,,錫,ək,,,,
䓈,䓈,,錫,ək,,,,
疫,疫,,錫,ək,,,,
坄,坄,,錫,ək,,,,
垼,垼,,錫,ək,,,,
伇（同“役”）,伇,（同“役”）,錫,ək,,,,
翳,翳,,脂,əl,,,,
医,医,,脂,əl,,,,
嫕,嫕,,脂,əl,,,,
蘙,蘙,,脂,əl,,,,
殹,殹,,脂,əl,,,,
詣,詣,,脂,əl,,,,
懿,懿,,質,ət,,,,
饐,饐,,質,ət,,,,
㙪,㙪,,質,ət,,,,
欭,欭,,質,ət,,,,
鷧（𪆖）,鷧,（𪆖）,質,ət,,,,
撎,撎,,質,ət,,,,
肄,肄,,質,ət,,,,
殔,殔,,質,ət,,,,
㣇,㣇,,質,ət,,,,
逸,逸,,質,ət,,,,
佚,佚,,質,ət,,,,
佾,佾,,質,ət,,,,
軼,軼,,質,ət,,,,
泆,泆,,質,ət,,,,
劮,劮,,質,ət,,,,
䭿,䭿,,質,ət,,,,
呹,呹,,質,ət,,,,
曀,曀,,質,ət,,,,
殪,殪,,質,ət,,,,
豷,豷,,質,ət,,,,
𢏗,𢏗,,質,ət,,,,
羿,羿,,質,ət,,,,
衣*（穿衣）,衣*,（穿衣）,微,ɔl,,,,
毅,毅,,物,ɔt,,,,
𢖫,𢖫,,物,ɔt,,,,
豙,豙,,物,ɔt,,,,
𧅙,𧅙,,物,ɔt,,,,
藙,藙,,物,ɔt,,,,
顡,顡,,物,ɔt,,,,
疙,疙,,物,ɔt,,,,
屹,屹,,物,ɔt,,,,
圪,圪,,物,ɔt,,,,
𧆫,𧆫,,物,ɔt,,,,
仡,仡,,物,ɔt,,,,
𧆦,𧆦,,物,ɔt,,,,
仡（心不欲）,仡,（心不欲）,物,ɔt,,,,
議,議,,歌,ʌl,,,,
誼,誼,,歌,ʌl,,,,
義,義,,歌,ʌl,,,,
羛（同“義”）,羛,（同“義”）,歌,ʌl,,,,
劓,劓,,月,ʌt,,,,
㓷,㓷,,月,ʌt,,,,
貤,貤,,歌,ʌl,,,,
施（延）,施,（延）,歌,ʌl,,,,
㡫,㡫,,月,ʌt,,,,
瘞,瘞,,月,ʌt,,,,
𣎅,𣎅,,月,ʌt,,,,
曳,曳,,月,ʌt,,,,
裔,裔,,月,ʌt,,,,
𤤺,𤤺,,月,ʌt,,,,
勩,勩,,月,ʌt,,,,
泄（泄泄）,泄,（泄泄）,月,ʌt,,,,
洩,洩,,月,ʌt,,,,
枻,枻,,月,ʌt,,,,
詍,詍,,月,ʌt,,,,
𢘽,𢘽,,月,ʌt,,,,
靾,靾,,月,ʌt,,,,
跇,跇,,月,ʌt,,,,
袣,袣,,月,ʌt,,,,
㵝,㵝,,月,ʌt,,,,
呭,呭,,月,ʌt,,,,
栧,栧,,月,ʌt,,,,
藝,藝,,月,ʌt,,,,
埶,埶,,月,ʌt,,,,
蓺,蓺,,月,ʌt,,,,
寱,寱,,月,ʌt,,,,
刈,刈,,月,ʌt,,,,
乂,乂,,月,ʌt,,,,
㣻,㣻,,月,ʌt,,,,
䖊,䖊,,月,ʌt,,,,
䢃,䢃,,月,ʌt,,,,
㝣,㝣,,月,ʌt,,,,
甈（破𦉍）,甈,（破𦉍）,月,ʌt,,,,
邑,邑,,緝,ɔp,,,,
悒,悒,,緝,ɔp,,,,
唈,唈,,緝,ɔp,,,,
裛,裛,,緝,ɔp,,,,
浥（溼）,浥,（溼）,緝,ɔp,,,,
俋,俋,,緝,ɔp,,,,
挹,挹,,緝,ɔp,,,,
翊,翊,,緝,ɔp,,,,
翌,翌,,緝,ɔp,,,,
熠,熠,,緝,ɔp,,,,
扱（拜手至地）,扱,（拜手至地）,緝,ɔp,,,,
㴔,㴔,,緝,ɔp,,,,
瘱,瘱,,葉,ʌp,,,,
姬,姬,,之,ɔɪ,,,,
朞,朞,,之,ɔɪ,,,,
稘,稘,,之,ɔɪ,,,,
基,基,,之,ɔɪ,,,,
箕,箕,,之,ɔɪ,,,,
萁,萁,,之,ɔɪ,,,,
䇫,䇫,,之,ɔɪ,,,,
其（不其，邑名）,其,（不其，邑名）,之,ɔɪ,,,,
錤,錤,,之,ɔɪ,,,,
丌（亓）,丌,（亓）,之,ɔɪ,,,,
激,激,,藥,ok,,,,
鸄,鸄,,藥,ok,,,,
雞,雞,,支,ə,,,,
鷄,鷄,,支,ə,,,,
屐,屐,,錫,ək,,,,
積,積,,錫,ək,,,,
襀,襀,,錫,ək,,,,
擊,擊,,錫,ək,,,,
墼,墼,,錫,ək,,,,
轚,轚,,錫,ək,,,,
𦼷（𦿓）,𦼷,（𦿓）,錫,ək,,,,
毄（𣪠）,毄,（𣪠）,錫,ək,,,,
飢,飢,,脂,əl,,,,
肌,肌,,脂,əl,,,,
几,几,,脂,əl,,,,
嵇,嵇,,脂,əl,,,,
稽,稽,,脂,əl,,,,
枅,枅,,脂,əl,,,,
笄,笄,,脂,əl,,,,
卟（乩）,卟,（乩）,脂,əl,,,,
𥝌,𥝌,,脂,əl,,,,
齎,齎,,脂,əl,,,,
賷,賷,,脂,əl,,,,
䪢（䪡）,䪢,（䪡）,脂,əl,,,,
齏,齏,,脂,əl,,,,
櫅,櫅,,脂,əl,,,,
躋,躋,,脂,əl,,,,
隮,隮,,脂,əl,,,,
機,機,,微,ɔl,,,,
譏,譏,,微,ɔl,,,,
嘰,嘰,,微,ɔl,,,,
磯,磯,,微,ɔl,,,,
鞿,鞿,,微,ɔl,,,,
饑,饑,,微,ɔl,,,,
禨,禨,,微,ɔl,,,,
幾（微）,幾,（微）,微,ɔl,,,,
䟇,䟇,,微,ɔl,,,,
鐖,鐖,,微,ɔl,,,,
僟,僟,,微,ɔl,,,,
璣,璣,,微,ɔl,,,,
𧗓,𧗓,,微,ɔl,,,,
畿,畿,,微,ɔl,,,,
𧰙,𧰙,,微,ɔl,,,,
𦠄,𦠄,,微,ɔl,,,,
羈,羈,,歌,ʌl,,,,
畸,畸,,歌,ʌl,,,,
羇,羇,,歌,ʌl,,,,
攲（持取）,攲,（持取）,歌,ʌl,,,,
奇（單數）,奇,（單數）,歌,ʌl,,,,
剞,剞,,歌,ʌl,,,,
緝（績麻）,緝,（績麻）,緝,ɔp,,,,
殛,殛,,職,ɔɪk,,,,
㥛,㥛,,職,ɔɪk,,,,
襋,襋,,職,ɔɪk,,,,
棘,棘,,職,ɔɪk,,,,
亟,亟,,職,ɔɪk,,,,
蕀,蕀,,職,ɔɪk,,,,
䩯,䩯,,職,ɔɪk,,,,
極,極,,職,ɔɪk,,,,
籍,籍,,鐸,ʌk,,,,
踖,踖,,鐸,ʌk,,,,
藉（狼藉）,藉,（狼藉）,鐸,ʌk,,,,
耤,耤,,鐸,ʌk,,,,
猎（獸名）,猎,（獸名）,鐸,ʌk,,,,
䣢,䣢,,鐸,ʌk,,,,
躤,躤,,鐸,ʌk,,,,
蹐,蹐,,錫,ək,,,,
鶺,鶺,,錫,ək,,,,
塉,塉,,錫,ək,,,,
瘠,瘠,,錫,ək,,,,
膌,膌,,錫,ək,,,,
吉,吉,,質,ət,,,,
趌,趌,,質,ət,,,,
姞,姞,,質,ət,,,,
佶,佶,,質,ət,,,,
鮚,鮚,,質,ət,,,,
卽（即）,卽,（即）,質,ət,,,,
堲,堲,,質,ət,,,,
疾,疾,,質,ət,,,,
嫉,嫉,,質,ət,,,,
蒺,蒺,,質,ət,,,,
㑵,㑵,,質,ət,,,,
揤,揤,,質,ət,,,,
槉,槉,,質,ət,,,,
䞘,䞘,,物,ɔt,,,,
急,急,,緝,ɔp,,,,
汲,汲,,緝,ɔp,,,,
伋,伋,,緝,ɔp,,,,
級,級,,緝,ɔp,,,,
芨,芨,,緝,ɔp,,,,
㽺,㽺,,緝,ɔp,,,,
彶,彶,,緝,ɔp,,,,
㤂（急）,㤂,（急）,緝,ɔp,,,,
及,及,,緝,ɔp,,,,
笈,笈,,緝,ɔp,,,,
极（驢上負版）,极,（驢上負版）,緝,ɔp,,,,
岌,岌,,緝,ɔp,,,,
圾（危）,圾,（危）,緝,ɔp,,,,
㗱,㗱,,緝,ɔp,,,,
潗,潗,,緝,ɔp,,,,
湒,湒,,緝,ɔp,,,,
蓻,蓻,,緝,ɔp,,,,
卙,卙,,緝,ɔp,,,,
揖（揖揖，羣飛貌）,揖,（揖揖，羣飛貌）,緝,ɔp,,,,
楫,楫,,緝,ɔp,,,,
檝,檝,,緝,ɔp,,,,
集,集,,緝,ɔp,,,,
輯,輯,,緝,ɔp,,,,
檝,檝,,緝,ɔp,,,,
亼,亼,,緝,ɔp,,,,
𠦫,𠦫,,緝,ɔp,,,,
戢,戢,,緝,ɔp,,,,
㗊,㗊,,緝,ɔp,,,,
蕺,蕺,,緝,ɔp,,,,
濈,濈,,緝,ɔp,,,,
己,己,,之,ɔɪ,,,,
妀,妀,,之,ɔɪ,,,,
戟,戟,,鐸,ʌk,,,,
撠,撠,,鐸,ʌk,,,,
丮,丮,,鐸,ʌk,,,,
𢜭,𢜭,,鐸,ʌk,,,,
脊,脊,,錫,ək,,,,
几*,几*,,脂,əl,,,,
𪊨,𪊨,,脂,əl,,,,
麂,麂,,脂,əl,,,,
㞦,㞦,,脂,əl,,,,
机（木名）,机,（木名）,脂,əl,,,,
䢳,䢳,,脂,əl,,,,
擠,擠,,脂,əl,,,,
擠,擠,,脂,əl,,,,
濟（水名，濟濟）,濟,（水名，濟濟）,脂,əl,,,,
泲,泲,,脂,əl,,,,
蟣,蟣,,微,ɔl,,,,
幾（幾何）,幾,（幾何）,微,ɔl,,,,
穖,穖,,微,ɔl,,,,
掎,掎,,歌,ʌl,,,,
踦（腳脛）,踦,（腳脛）,歌,ʌl,,,,
給（供給）,給,（供給）,緝,ɔp,,,,
紀,紀,,之,ɔɪ,,,,
記,記,,之,ɔɪ,,,,
䢋,䢋,,之,ɔɪ,,,,
跽,跽,,之,ɔɪ,,,,
𦜕（跽）,𦜕,（跽）,之,ɔɪ,,,,
㠱,㠱,,之,ɔɪ,,,,
忌,忌,,之,ɔɪ,,,,
惎,惎,,之,ɔɪ,,,,
鵋,鵋,,之,ɔɪ,,,,
誋,誋,,之,ɔɪ,,,,
諅（忌）,諅,（忌）,之,ɔɪ,,,,
𦮼,𦮼,,之,ɔɪ,,,,
悈（急）,悈,（急）,職,ɔɪk,,,,
茍（自急敕）,茍,（自急敕）,職,ɔɪk,,,,
稷,稷,,職,ɔɪk,,,,
㮨,㮨,,職,ɔɪk,,,,
寂,寂,,覺,ɔk,,,,
𡧯,𡧯,,覺,ɔk,,,,
𠴫,𠴫,,覺,ɔk,,,,
漃,漃,,覺,ɔk,,,,
技,技,,支,ə,,,,
妓,妓,,支,ə,,,,
伎（技巧）,伎,（技巧）,支,ə,,,,
芰,芰,,支,ə,,,,
鬾,鬾,,支,ə,,,,
迹,迹,,錫,ək,,,,
跡,跡,,錫,ək,,,,
𨒪（迹）,𨒪,（迹）,錫,ək,,,,
鰿,鰿,,錫,ək,,,,
𧐐,𧐐,,錫,ək,,,,
𩺀,𩺀,,錫,ək,,,,
蹟,蹟,,錫,ək,,,,
繫（粗絮）,繫,（粗絮）,錫,ək,,,,
檕,檕,,錫,ək,,,,
蘻,蘻,,錫,ək,,,,
績,績,,錫,ək,,,,
䚐,䚐,,錫,ək,,,,
冀,冀,,脂,əl,,,,
驥,驥,,脂,əl,,,,
霽,霽,,脂,əl,,,,
濟（渡）,濟,（渡）,脂,əl,,,,
穧,穧,,脂,əl,,,,
薺（薺菜）,薺,（薺菜）,脂,əl,,,,
嚌（嘗）,嚌,（嘗）,脂,əl,,,,
劑,劑,,脂,əl,,,,
𨣧,𨣧,,脂,əl,,,,
齌,齌,,脂,əl,,,,
